rcasiteid,rcapid,x,y
C0508C12,C0508C121,-99.13,38.3
C0508C12,C0508C122,-99.13,38.3
C0508C12,C0508C123,-99.13,38.3
C0508C12,C0508C124,-99.13,38.3
C0508C12,C0508C125,-99.13,38.3
C0508C13,C0508C131,-97.07,39.49
C0508C13,C0508C132,-97.07,39.49
C0508C13,C0508C133,-97.07,39.49
C0508C13,C0508C134,-97.07,39.49
C0508C13,C0508C135,-97.07,39.49
C0508C14,C0508C141,-97.66,37.42
C0508C14,C0508C142,-97.66,37.42
C0508C14,C0508C143,-97.66,37.42
C0508C14,C0508C144,-97.66,37.42
C0508C14,C0508C145,-97.66,37.42
C0508C20,C0508C201,-97.26,40.35
C0508C20,C0508C202,-97.26,40.35
C0508C20,C0508C203,-97.26,40.35
C0508C20,C0508C204,-97.26,40.35
C0508C20,C0508C205,-97.26,40.35
C0508C30,C0508C301,-96.38,38.47
C0508C30,C0508C302,-96.38,38.47
C0508C30,C0508C303,-96.38,38.47
C0508C30,C0508C304,-96.38,38.47
C0508C30,C0508C305,-96.38,38.47
C0508C36,C0508C361,-98.29,40.24
C0508C36,C0508C362,-98.29,40.24
C0508C36,C0508C363,-98.29,40.24
C0508C36,C0508C364,-98.29,40.24
C0508C36,C0508C365,-98.29,40.24
C0508F08,C0508F081,-97.53,39.5
C0508F08,C0508F082,-97.53,39.5
C0508F08,C0508F083,-97.53,39.5
C0508F08,C0508F084,-97.53,39.5
C0508F08,C0508F085,-97.53,39.5
C0508F10,C0508F101,-96.61,39.36
C0508F10,C0508F102,-96.61,39.36
C0508F10,C0508F103,-96.61,39.36
C0508F10,C0508F104,-96.61,39.36
C0508F10,C0508F105,-96.61,39.36
C0508P02,C0508P021,-96.34,37.61
C0508P02,C0508P022,-96.34,37.61
C0508P02,C0508P023,-96.34,37.61
C0508P02,C0508P024,-96.34,37.61
C0508P02,C0508P025,-96.34,37.61
C0508P03,C0508P031,-96.81,39.51
C0508P03,C0508P032,-96.81,39.51
C0508P03,C0508P033,-96.81,39.51
C0508P03,C0508P034,-96.81,39.51
C0508P03,C0508P035,-96.81,39.51
C0508P04,C0508P041,-98.65,37.63
C0508P04,C0508P042,-98.65,37.63
C0508P04,C0508P043,-98.65,37.63
C0508P04,C0508P044,-98.65,37.63
C0508P04,C0508P045,-98.65,37.63
C0508R01,C0508R011,-97.95,38.82
C0508R01,C0508R012,-97.95,38.82
C0508R01,C0508R013,-97.95,38.82
C0508R01,C0508R014,-97.95,38.82
C0508R01,C0508R015,-97.95,38.82
C0508R06,C0508R061,-96.59,37.99
C0508R06,C0508R062,-96.59,37.99
C0508R06,C0508R063,-96.59,37.99
C0508R06,C0508R064,-96.59,37.99
C0508R06,C0508R065,-96.59,37.99
C0508R07,C0508R071,-96.6,39.43
C0508R07,C0508R072,-96.6,39.43
C0508R07,C0508R073,-96.6,39.43
