rcasiteid,rcapid,x,y
C0505W04,C0505W043,-100.23,37.35
C0505W04,C0505W044,-100.23,37.35
C0505W04,C0505W045,-100.23,37.35
C0506C02,C0506C021,-103.84,40.32
C0506C02,C0506C022,-103.84,40.32
C0506C02,C0506C023,-103.84,40.32
C0506C02,C0506C024,-103.84,40.32
C0506C02,C0506C025,-103.84,40.32
C0506C04,C0506C041,-104.06,39.79
C0506C04,C0506C042,-104.06,39.79
C0506C04,C0506C043,-104.06,39.79
C0506C04,C0506C044,-104.06,39.79
C0506C04,C0506C045,-104.06,39.79
C0506C05,C0506C051,-100.83,40.24
C0506C05,C0506C052,-100.83,40.24
C0506C05,C0506C053,-100.83,40.24
C0506C05,C0506C054,-100.83,40.24
C0506C05,C0506C055,-100.83,40.24
C0506C09,C0506C091,-103.76,39.94
C0506C09,C0506C092,-103.76,39.94
C0506C09,C0506C093,-103.76,39.94
C0506C09,C0506C094,-103.76,39.94
C0506C09,C0506C095,-103.76,39.94
C0506C12,C0506C121,-103.97,39.8
C0506C12,C0506C122,-103.97,39.8
C0506C12,C0506C123,-103.97,39.8
C0506C12,C0506C124,-103.97,39.8
C0506C12,C0506C125,-103.97,39.8
C0506F02,C0506F021,-99.18,40.15
C0506F02,C0506F022,-99.18,40.15
C0506F02,C0506F023,-99.18,40.15
C0506F02,C0506F024,-99.18,40.15
C0506F02,C0506F025,-99.18,40.15
C0506P03,C0506P031,-101.63,40.08
C0506P03,C0506P032,-101.63,40.08
C0506P03,C0506P033,-101.63,40.08
C0506P03,C0506P034,-101.63,40.08
C0506P03,C0506P035,-101.63,40.08
C0506P06,C0506P061,-103.78,38.24
C0506P06,C0506P062,-103.78,38.24
C0506P06,C0506P063,-103.78,38.24
